,position_on_page,title,link,published_date,views,length,description,extensions,channel.name,channel.link,channel.verified,channel.thumbnail,thumbnail.static,thumbnail.rich
20,1,The Beginner's Guide to Excel - Excel Basics Tutorial,https://www.youtube.com/watch?v=rwbho0CgEAE,4 years ago,13712858.0,21:47,"If you like this video, here's my entire playlist of Excel tutorials: http://bit.ly/tech4excel Learn the basics of using Microsoft Excel, ...",['CC'],Technology for Teachers and Students,https://www.youtube.com/user/robobent,,https://yt3.ggpht.com/ytc/AKedOLQgg8vGdQyj3CJkPAEqpG138QMmnQnMDg00YNYgWg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/rwbho0CgEAE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7DP5VAId5UrXNQS6tI9V-UarTSg,https://i.ytimg.com/an_webp/rwbho0CgEAE/mqdefault_6s.webp?du=3000&sqp=CKm6w4wG&rs=AOn4CLBSx2OCtJAFvXmTJ4XTka3JfVd35w
21,2,Microsoft Excel Tutorial for Beginners - Full Course,https://www.youtube.com/watch?v=Vl0H-qTclOg,1 year ago,1268291.0,2:26:10,Lean how to use Microsoft Excel from the beginning by creating 6 real-world projects. Most of the content applies to Google ...,['CC'],freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,True,https://yt3.ggpht.com/ytc/AKedOLTtJvQ1Vfew91vemeLaLdhjOwGx3tTBLlreK_QUyA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Vl0H-qTclOg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAbT3CawZ7VThj7_vlhqPcDRSN_UQ,https://i.ytimg.com/an_webp/Vl0H-qTclOg/mqdefault_6s.webp?du=3000&sqp=CMjzw4wG&rs=AOn4CLBesVSGl30QsFS5gX-ma9IgpkWUlQ
22,3,5 Excel Functions YOU NEED in 2021,https://www.youtube.com/watch?v=_EWcAR_Hkvg,10 months ago,490003.0,12:15,In this Excel functions tutorial you'll learn how to use the NEW Excel formulas and functions. These Excel functions are available ...,['CC'],Leila Gharani,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA,True,https://yt3.ggpht.com/ytc/AKedOLQYG2RoNQGZCPOp66egKoE8vZ13fwOQ3hlsgXMpvA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/_EWcAR_Hkvg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrQl6RJkhbc1SNfEGPLYZNoAMAZw,https://i.ytimg.com/an_webp/_EWcAR_Hkvg/mqdefault_6s.webp?du=3000&sqp=CNDgw4wG&rs=AOn4CLAdXKDOQASkCDZqRJO0LD24MONVHg
23,4,How To Fill Out & Sign Unlimited Documents With Excel Data In 1 CLICK [Masterclass + Free Download],https://www.youtube.com/watch?v=wI6nFlq9CS8,,,1:50:54,JOIN US ON PATREON FOR UNRELEASED TRAININGS + MORE ▻ https://bit.ly/PatreonDesc JOIN MY MENTORSHIP ...,['New'],Excel For Freelancers,https://www.youtube.com/channel/UCXhiOv9VT_0XSnVXyEh4pWw,,https://yt3.ggpht.com/ytc/AKedOLRVJVLy5YU7uDJ59KhZwVV6tMgk_M-seY590sep_g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/wI6nFlq9CS8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBE-MPoqpq_KHK2vDXfTMf51CfwIQ,
24,5,Microsoft Excel Tutorial -  Beginners Level 1,https://www.youtube.com/watch?v=k1VUZEVuDJ8,3 years ago,4839622.0,32:49,"0:00 Start 1:07 Starting up 1:27 Recent documents and pinning documents 1:54 Templates 2:34 Layout - Tabs, ribbons, and ...",['CC'],Teacher's Tech,https://www.youtube.com/channel/UCO66zvpQorlNfs_7hFCfmaw,True,https://yt3.ggpht.com/ytc/AKedOLQEj3uOzeVph7ImUetpAh5oJ-y8knVK9r2ZfwKcnQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/k1VUZEVuDJ8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwHCMMRMH1A2NF085lUc9-zcTzgw,
25,6,"Intermediate Excel Skills, Tips, and Tricks Tutorial",https://www.youtube.com/watch?v=lxq_46nY43g,4 years ago,4562704.0,20:18,"Here's my entire playlist of Excel tutorials: http://bit.ly/tech4excel Learn many of the intermediate skills, tips, and tricks that you'll ...",['CC'],Technology for Teachers and Students,https://www.youtube.com/user/robobent,,https://yt3.ggpht.com/ytc/AKedOLQgg8vGdQyj3CJkPAEqpG138QMmnQnMDg00YNYgWg=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/lxq_46nY43g/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCc1uxpxlajcAup7Rfxy64pjycvLQ,https://i.ytimg.com/an_webp/lxq_46nY43g/mqdefault_6s.webp?du=3000&sqp=CODiw4wG&rs=AOn4CLCRiGS1v8LpBTDvJ5LUU4rnK5et1Q
26,7,Top 10 Most Important Excel Formulas - Made Easy!,https://www.youtube.com/watch?v=ShBTJrdioLo,3 years ago,1606813.0,27:19,"This video provides a basic introduction into the top 10 most important formulas used in excel. These include the average function, ...",,The Organic Chemistry Tutor,https://www.youtube.com/channel/UCEWpbFLzoYGPfuWUMFPSaoA,,https://yt3.ggpht.com/ytc/AKedOLTbgxf76hhOsvNodHV4pYTUShqPkkGFijxZph5V2A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/ShBTJrdioLo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3DqUbqeMjTkj9gy22Z2aiQ5L-Zw,
27,8,VLOOKUP Tutorial for Excel - Everything You Need To Know,https://www.youtube.com/watch?v=d3BYVQ6xIE4,2 years ago,1534738.0,21:50,"It's great for beginners. However, the video is packed with additional tips and tricks for writing formulas that will help save anyone ...",['CC'],Excel Campus - Jon,https://www.youtube.com/user/ExcelCampus,,https://yt3.ggpht.com/ytc/AKedOLSFUacMD-kI8JlBBJjAh9FI10r9n81jjO69h_f3qA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/d3BYVQ6xIE4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdbPwPtseCwv1GnrNAROOT7BKRyA,https://i.ytimg.com/an_webp/d3BYVQ6xIE4/mqdefault_6s.webp?du=3000&sqp=CKjIw4wG&rs=AOn4CLCGDugo_yxfnEKGfNbnMCAKuqsoVA
28,9,50 Ultimate Excel Tips and Tricks for 2020,https://www.youtube.com/watch?v=FXs3WG7M-qk,1 year ago,1028761.0,50:17,The ultimate compilation of Excel tips and tricks to enhance your productivity using Excel. Updated for 2020! I've combined ...,['CC'],Sele Training,https://www.youtube.com/channel/UCxNXNvi-lspIjVHa-wuLabA,True,https://yt3.ggpht.com/ytc/AKedOLR84vF3c8cG7N6L2p8Ai2ieRPvMpvLHVTxa86EY=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/FXs3WG7M-qk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAyk_p-qVNMvChaV6ILYIqzBdnxMw,https://i.ytimg.com/an_webp/FXs3WG7M-qk/mqdefault_6s.webp?du=3000&sqp=CLa_w4wG&rs=AOn4CLCdAl_adIDvpg5sskttWTsM7Jm5rQ
29,10,Excel Tutorial for Beginners | Excel Made Easy,https://www.youtube.com/watch?v=0tdlR1rBwkM,9 months ago,393366.0,15:54,"Learn the basics of using Microsoft Excel. How a spreadsheet is setup, and how you can enter data in Excel. Learn useful Excel ...",['CC'],Leila Gharani,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA,True,https://yt3.ggpht.com/ytc/AKedOLQYG2RoNQGZCPOp66egKoE8vZ13fwOQ3hlsgXMpvA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/0tdlR1rBwkM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAoHf1wAgNLhjzEFUt8vV0El1BPEQ,https://i.ytimg.com/an_webp/0tdlR1rBwkM/mqdefault_6s.webp?du=3000&sqp=CPS_w4wG&rs=AOn4CLANgZfgIZFzR0rpCCJTQqwFhuaTmA
